Name,Address,ID,Skill,region,year,technology
Nicholas Holloway,"PSC 9902, Box 4261
APO AA 24844",72caac58-7171-43c3-bcd1-04d2c3c67a4f,Beginner,Ilottery,4 to 8 years,Blockchain engineering
John Stone Jr.,"534 Weaver Islands Apt. 545
Bryanmouth, NC 64438",6055dece-33e6-43f0-8707-3723aac5e6f5,Beginner,Ilottery,0 to 3 years,Automation
Daniel Gonzales,"749 Rivera Union Apt. 176
South Michaelaborough, MI 70635",bf796914-adde-47be-95da-2949f8d747aa,Beginner,Ilottery,4 to 8 years,.NET/C#
Todd Dean,"0486 Todd Estate
Conleymouth, AR 11903",888cca20-d94d-4820-b90c-ee7fad071297,Intermediate,Americas,4 to 8 years,.NET/C#
Jaime Johnson,"7262 Timothy Valleys Apt. 562
Dianeton, LA 36998",a54497d7-8fdc-4096-83ad-49d0578502c7,Conversant,Ilottery,4 to 8 years,Embedded Programming
Brian Bernard,"562 Michael Brook Apt. 015
Eatonbury, PA 25131",0a954ff6-0605-4df2-af42-58990bd96403,Intermediate,Casino,0 to 3 years,.NET/C#
Richard Carr,"231 Davis Glen
Stevensonfort, WA 28902",487f5ba2-0aa4-4ff6-817e-dfc6f46ea041,Conversant,Casino,16years and above,Web Development
Shaun Olsen,"095 Lin Gateway Suite 265
Livingstonview, NH 27096",681a3876-1044-441c-beb4-0c0227eac9a9,Conversant,International,4 to 8 years,System Design
Tara Washington,"360 Ferrell Lakes Apt. 663
Lorichester, WA 66770",640ab995-a6ce-4b9c-a69f-993aff805294,Expert,Product,4 to 8 years,UI/UXData Science
Daniel Le,"6777 Michele Coves Apt. 321
South Benjamin, CT 03882",29462590-bb66-4eb0-948b-18932644de72,Expert,Americas,0 to 3 years,.NET/C#
Kenneth Poole,"930 Kristina Creek
Lake Andrewshire, WA 97858",f324bf10-945a-4f12-86c0-4e0a8b97509a,Expert,Ilottery,4 to 8 years,Embedded Programming
Eric Poole,"3546 David Gateway Apt. 433
Angelaland, IA 16717",04606079-6ee9-4a77-a3ed-0606f265bd06,Beginner,Americas,0 to 3 years,System Design
Daniel Martin,"56534 Sharon Streets Apt. 781
Lake Kristenville, NJ 29825",23d9a131-3433-48d3-b9f8-844fd4dc98a0,Conversant,Casino,4 to 8 years,Python
Gary Rivera,"047 Bird Prairie Suite 822
South Crystalbury, MN 20997",3563998a-ab61-4d19-92c4-f54913a23905,Conversant,Ilottery,4 to 8 years,Java/J2EE
Christopher Clark,"6193 Melissa Burg
Parkborough, SC 58992",e339c6bf-9129-4e29-af58-a18b6d445485,Beginner,Casino,4 to 8 years,Blockchain engineering
Makayla Mcdonald,"44177 Matthew Pines Apt. 894
Franklinside, VA 82171",29fafd2e-405a-4ff9-9c25-1d27cde0d2ec,Expert,Casino,0 to 3 years,Web Development
Jerry Graham,"4310 Brandon Inlet Apt. 395
Jessicafurt, UT 43439",6cb1c45f-1ee6-43c4-8d3e-eb5fb943290f,Beginner,Casino,16years and above, Testing
Darrell Matthews,"660 Catherine Stream Suite 053
Kevinhaven, MH 15310",2b792732-016b-48e4-a6de-a9b5b2c5d18e,Conversant,Americas,0 to 3 years,Python
Ashley Davis,"84042 Kaitlyn Key Suite 733
Alejandroland, WV 63590",ff76e539-1583-4974-9c3f-92ab035f0a89,Intermediate,Casino,16years and above,UI/UXData Science
Allison Andrews,"44061 Estrada Cape Apt. 840
Michelleland, AL 90304",ba3eec26-eedb-4ccb-8724-92971ede6612,Expert,Product,4 to 8 years,Web Development
